RANK GROUP,OVERALL RANK,ENGINEERING DEGREE,Ceo Name,Company,Tenure,START YEAR,Industry,"INSIDER/
OUTSIDER",Country,MBA,TOTAL FINANCIAL RANK,SUSTAINALYTICS RANK,CSRHUB RANK,,,"COUNTRY ADJUSTED
TSR (in %)","COUNTRY ADJUSTED
TSR RANK","INDUSTRY ADJUSTED
TSR (in %)","INDUSTRY ADJUSTED
TSR RANK","MARKET CAP CHANGE
($BN)","MARKET CAP CHANGE
RANK",SUSTAINALYTICS SCORE,CSRHUB SCORE,GENDER,AGE
1-20,1,NO,Lars Rebien S?rensen,Novo Nordisk,17,2000,Health Care,INSIDER,Denmark,NO,6,32,144,,,"1,006",48,"1,650",30,137,12,82.25,63.55,MALE,61
1-20,2,NO,Martin Sorrell,WPP,31,1986,Consumer Services,OUTSIDER,United Kingdom,YES,12,139,57,,,"1,665",30,"1,621",31,39,86,73.77,66.18,MALE,71
1-20,3,NO,Pablo Isla,Inditex,12,2005,Retail,OUTSIDER,Spain,NO,24,71,163,,,589,77,500,95,88,24,77.46,63.08,MALE,52
1-20,4,NO,Herbert Hainer*,Adidas,16,2001,Consumer Goods,INSIDER,Germany,NO,46,86,110,,,667,68,650,77,25,144,76.54,64.51,MALE,61
1-20,5,YES,Roberto Egydio Setubal,Ita? Unibanco ,23,1994,Financial Services,INSIDER,Brazil,NO,3,248,294,,,"11,069",6,"3,018",17,62,46,68.51,60.17,MALE,61
1-20,6,YES,Jen-Hsun Huang,Nvidia,24,1993,Information Technology,INSIDER,United States,NO,29,141,259,,,"2,063",25,"2,180",25,21,175,73.71,60.89,MALE,53
1-20,7,YES,Bernard Arnault ,LVMH,28,1989,Consumer Goods,OUTSIDER,France,NO,20,257,236,,,645,70,574,87,83,26,68.25,61.52,MALE,67
1-20,8,YES,Elmar Degenhart,Continental,8,2009,Automobile,OUTSIDER,Germany,NO,33,153,335,,,704,65,519,92,39,85,73.06,59.2,MALE,57
1-20,9,YES,Beno?t Potier,Air Liquide,20,1997,Materials,INSIDER,France,NO,72,142,41,,,259,158,281,148,35,95,73.68,66.63,MALE,58
1-20,10,YES,Jacques Aschenbroich,Valeo,8,2009,Automobile,OUTSIDER,France,NO,74,81,87,,,"1,215",37,870,62,12,307,76.74,65.2,MALE,61
1-20,11,NO,Mark Parker,Nike,11,2006,Consumer Goods,INSIDER,United States,NO,29,304,254,,,448,94,417,108,91,23,66.28,60.99,MALE,60
1-20,12,YES,Carlos Alves de Brito,Anheuser-Busch InBev,12,2005,Consumer Goods,INSIDER,Belgium,YES,36,217,317,,,413,108,302,140,190,8,69.81,59.6,MALE,56
1-20,13,YES,Florentino P?rez Rodr?guez,ACS,24,1993,Industrials,INSIDER,Spain,NO,27,225,437,,,"2,751",22,"3,051",16,21,172,69.41,57.04,MALE,69
1-20,14,NO,Howard Schultz,Starbucks,9,2008,Consumer Goods,INSIDER,United States,NO,28,254,434,,,494,91,502,94,74,39,68.39,57.16,MALE,62
1-20,15,NO,Martin Bouygues,Bouygues,28,1989,Industrials,INSIDER,France,NO,77,178,160,,,526,87,773,68,14,260,71.68,63.18,MALE,64
1-20,16,NO,Marc Benioff,Salesforce.com,16,2001,Information Technology,INSIDER,United States,NO,11,424,458,,,"1,536",31,"1,545",35,47,65,62.11,56.65,MALE,51
1-20,17,NO,Richard Cousins,Compass,11,2006,Consumer Goods,OUTSIDER,United Kingdom,NO,55,343,200,,,531,86,351,129,29,121,64.92,62.3,MALE,57
1-20,18,NO,Martin Gilbert ,Aberdeen Asset Management,34,1983,Financial Services,INSIDER,United Kingdom,NO,108,93,39,,,998,49,"1,146",43,8,418,76.05,66.8,MALE,60
